model,cv_f1,cv_f1_std,search_seconds,pca_components,train_accuracy,train_precision,train_recall,train_f1,train_macro_f1,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_macro_f1,test_accuracy,test_precision,test_recall,test_f1,test_macro_f1,predict_ms_per_image
Logistic Regression,0.9378500384759412,0.010609118691925625,4.107148300012341,231,1.0,1.0,1.0,1.0,1.0,0.933993399339934,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9339926803764378,0.9263157894736842,0.921875,0.9315789473684211,0.9267015706806283,0.9263137483032771,0.02295973689270843
KNN,0.7504504006631666,0.02929987715804182,5.734044999990147,231,0.875515251442704,0.9728601252609603,0.7715231788079471,0.8605724838411819,0.8740688182422589,0.768976897689769,0.9361702127659575,0.5789473684210527,0.7154471544715447,0.7605013550135502,0.7447368421052631,0.926605504587156,0.531578947368421,0.6755852842809364,0.7325865683877567,0.08006605264534683
SVM,0.9365923112955065,0.004640432096064697,4.150435700023081,231,1.0,1.0,1.0,1.0,1.0,0.9405940594059405,0.9240506329113924,0.9605263157894737,0.9419354838709677,0.9405623365300784,0.9394736842105263,0.9282051282051282,0.9526315789473684,0.9402597402597402,0.9394632034632034,0.6768063158041945
Random Forest,0.8835652797704446,0.015740274815151587,21.346529500006,231,1.0,1.0,1.0,1.0,1.0,0.8613861386138614,0.8481012658227848,0.881578947368421,0.864516129032258,0.8613121185701831,0.8763157894736842,0.8864864864864865,0.8631578947368421,0.8746666666666667,0.8762943722943723,0.28849868425535724
